,Correlation
H1-0,0.0032251223910884463
RASD1,0.00106374559574299
STAB1,-0.03868349399409087
FSCN1,0.017178551554284386
SLC7A5,-0.00046929744585663696
PPP1R3C,-0.025846179488569532
GATM,-0.027046107494974415
PROS1,0.009442292088833739
SERPINA1,-0.002982861103398316
CFH,-0.018453294626063044
LRG1,-0.0068619780626475784
SERPINF2,-0.019428634826408574
NDRG2,-0.02703973516311442
RAP1GAP,0.014057408133189347
TESC,0.01725333932303554
ANPEP,0.0017367035033048653
REEP6,0.014739001297281087
KCNK5,-0.015607393623773343
SMIM24,0.016635981463594945
TPPP3,0.02256584511049355
DEFB1,0.02261883009819447
AQP1,-0.022459534124588336
TMEM37,-0.012018769380683823
CYP1B1,0.011658949179929958
IGFBP3,-0.025860963481303307
FBP1,0.013898258531420443
VSIG2,-0.00018175776751693182
GATA3,0.008282953595133619
TBX3,-0.017925665677358454
MGST1,-0.007092292327574211
RARRES1,-0.011772781023381184
NRN1,7.498533963649632e-05
TSPAN13,0.008357309984433263
ALDH1A1,-0.012433046142459022
MGP,-0.017324494291105066
ERBB2,-0.026727176431347012
GRB7,-0.01222684095592742
PTGR1,0.015520345157331637
AKR1C3,0.01059563143511657
RBP7,0.01596733157231615
CBR1,0.01892865557888516
GSTP1,0.06159383292337937
EGFR,-0.04624066631806744
IGFBP6,0.01908386930205293
F3,-0.03323878407946368
EFEMP1,-0.04184739820247143
RRAD,0.026271009724140416
PLAT,0.010106475380741038
EMP1,0.011330893147936593
ACKR3,-0.011814969969289468
ECM1,-0.007766887112819639
CX3CL1,-0.006177290399232011
APOL1,0.006432647916755793
TYMP,-0.006502126922334887
CXCL10,-0.007964461419802372
GBP1,-0.012240909767751463
LAMP3,-0.0033508984384835543
TNFSF10,-0.019899757076214053
ANGPTL4,-0.024174344497804874
NDUFA4L2,-0.01352471352346397
SLC2A1,-0.0071204106259194445
ADM,-0.011464458292783591
NDRG1,-0.01815176686624288
DHRS3,-0.017573321217504167
EMP2,0.015663573825128015
EGLN3,-0.005891370931059763
PTGES,-0.03121450678753685
HSPB8,-0.01338181698614387
THBD,-0.01424613696680151
ANXA1,0.025909237218708636
GJB2,-0.0016419965458987012
AQP3,0.007661658078625236
IL1RN,-0.005335324105281267
CNFN,0.045437672197448466
S100A9,-0.013182520714645811
DSC2,-0.0045698511711847216
CSTA,0.019914350881796973
CSTB,0.020208077869249125
FABP5,0.026185982197962324
S100A8,0.0001873448150701248
FGFR3,0.016641853254955413
PTPN13,-0.02437571473932923
CAV1,-0.002564869793462281
CAV2,0.0004831650122227062
PLAU,0.00992448160263883
LAMB3,-0.0036859585090181263
LAMC2,0.006730127187609738
P3H2,-0.013488606412527039
RAB38,-0.006763965289461205
EVPL,0.01604121264477513
ID1,0.016135134724527107
FAM110C,-0.020092960416188382
HSPB1,0.06430444846347871
S100A11,0.03564034449894952
RHOD,0.02478469626352461
PACSIN3,0.02766025011792685
KRT19,0.00771970792326512
S100A14,0.014920447935386558
S100A16,0.02550030180773358
CLDN1,-0.01594534006395551
FZD6,0.0017105529495601013
DSP,0.01777745800059466
JUP,0.025100746602832787
RIPK4,-0.02913345602592874
PPL,-0.008455244726843954
MPZL2,0.002336590854858815
TACSTD2,-0.00012035044953810811
KRT17,0.014855250769263155
NECTIN1,0.0010184510219602508
IRF6,0.017825859270196965
NECTIN4,-0.01329966574508186
